file					copyright	license 	modified by
game/skins/player_pink.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/skins/player_purple.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/skins/player_red.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/skins/player_white.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/skins/player_yellow.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/charsets/moondid2.png	Moon[Drunk]	unknown	-
game/textures/charsets/povo5.png	Povohat		unknown	-
game/textures/chaticons.png		RaRe/Up2nOgOoD[ROCK]	unknown	-
game/textures/conpart.png		Cuky	unknown	-
game/textures/detail.png		unknown	unknown	-
game/textures/explosionflash1.png	unknown	unknown	-
game/textures/explosionflash2.png	unknown	unknown	-
game/textures/explosionflash3.png	unknown	unknown	-
game/textures/explosionflash4.png	unknown	unknown	-
game/textures/explosionflash5.png	unknown	unknown	-
game/textures/explosionflash6.png	unknown	unknown	-
game/textures/explosionflash7.png	unknown	unknown	-
game/textures/flash.png			unknown	unknown	-
game/textures/gunflash.png		unknown	unknown	-
game/textures/particles/particlefont.png	unknown	unknown	-
game/textures/scrollbars/arrow_down.png	RaRe	QRTP?	-
game/textures/scrollbars/arrow_up.png	RaRe	QRTP?	-
game/textures/scrollbars/slidebg.png	RaRe	QRTP?	-
game/textures/scrollbars/slider.png	RaRe	QRTP?	-
game/textures/shellmap.tga		Electro	PublicDomain	-
game/textures/shockwavetex.png		unknown	unknown	-
game/textures/sky1_alpha.png		Moon[Drunk]	QRTP?	-
game/textures/sky1_solid.png		Moon[Drunk]	QRTP?	-
game/textures/sky4_alpha.png		Moon[Drunk]	QRTP?	-
game/textures/sky4_solid.png		Moon[Drunk]	QRTP?	-
game/textures/sparktex.png			unknown	unknown	-
game/textures/wad/anum_0.png		unknown		QRTP?	-
game/textures/wad/anum_1.png		unknown		QRTP?	-
game/textures/wad/anum_2.png		unknown		QRTP?	-
game/textures/wad/anum_3.png		unknown		QRTP?	-
game/textures/wad/anum_4.png		unknown		QRTP?	-
game/textures/wad/anum_5.png		unknown		QRTP?	-
game/textures/wad/anum_6.png		unknown		QRTP?	-
game/textures/wad/anum_7.png		unknown		QRTP?	-
game/textures/wad/anum_8.png		unknown		QRTP?	-
game/textures/wad/anum_9.png		unknown		QRTP?	-
game/textures/wad/anum_minus.png	unknown		QRTP?	-
game/textures/wad/backtile.png		unknown	unknown	-
game/textures/wad/disc.png		unknown	unknown	-
game/textures/wad/face1.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face2.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face3.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face4.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face5.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face_inv2.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face_invis.png	PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face_invul2.png	PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face_p1.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face_p2.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face_p3.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face_p4.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face_p5.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/face_quad.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/ibar.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/inv2_lightng.png	unknown	unknown	-
game/textures/wad/inv2_nailgun.png	unknown	unknown	-
game/textures/wad/inv2_rlaunch.png	unknown	unknown	-
game/textures/wad/inv2_shotgun.png	unknown	unknown	-
game/textures/wad/inv2_snailgun.png	unknown	unknown	-
game/textures/wad/inv2_srlaunch.png	unknown	unknown	-
game/textures/wad/inv2_sshotgun.png	unknown	unknown	-
game/textures/wad/inva1_lightng.png	unknown	unknown	-
game/textures/wad/inva1_nailgun.png	unknown	unknown	-
game/textures/wad/inva1_rlaunch.png	unknown	unknown	-
game/textures/wad/inva1_shotgun.png	unknown	unknown	-
game/textures/wad/inva1_snailgun.png	unknown	unknown	-
game/textures/wad/inva1_srlaunch.png	unknown	unknown	-
game/textures/wad/inva1_sshotgun.png	unknown	unknown	-
game/textures/wad/inva2_lightng.png	unknown	unknown	-
game/textures/wad/inva2_nailgun.png	unknown	unknown	-
game/textures/wad/inva2_rlaunch.png	unknown	unknown	-
game/textures/wad/inva2_shotgun.png	unknown	unknown	-
game/textures/wad/inva2_snailgun.png	unknown	unknown	-
game/textures/wad/inva2_srlaunch.png	unknown	unknown	-
game/textures/wad/inva2_sshotgun.png	unknown	unknown	-
game/textures/wad/inva3_lightng.png	unknown	unknown	-
game/textures/wad/inva3_nailgun.png	unknown	unknown	-
game/textures/wad/inva3_rlaunch.png	unknown	unknown	-
game/textures/wad/inva3_shotgun.png	unknown	unknown	-
game/textures/wad/inva3_snailgun.png	unknown	unknown	-
game/textures/wad/inva3_srlaunch.png	unknown	unknown	-
game/textures/wad/inva3_sshotgun.png	unknown	unknown	-
game/textures/wad/inva4_lightng.png	unknown	unknown	-
game/textures/wad/inva4_nailgun.png	unknown	unknown	-
game/textures/wad/inva4_rlaunch.png	unknown	unknown	-
game/textures/wad/inva4_shotgun.png	unknown	unknown	-
game/textures/wad/inva4_snailgun.png	unknown	unknown	-
game/textures/wad/inva4_srlaunch.png	unknown	unknown	-
game/textures/wad/inva4_sshotgun.png	unknown	unknown	-
game/textures/wad/inva5_lightng.png	unknown	unknown	-
game/textures/wad/inva5_nailgun.png	unknown	unknown	-
game/textures/wad/inva5_rlaunch.png	unknown	unknown	-
game/textures/wad/inva5_shotgun.png	unknown	unknown	-
game/textures/wad/inva5_snailgun.png	unknown	unknown	-
game/textures/wad/inva5_srlaunch.png	unknown	unknown	-
game/textures/wad/inva5_sshotgun.png	unknown	unknown	-
game/textures/wad/inv_lightng.png	unknown	unknown	-
game/textures/wad/inv_nailgun.png	unknown	unknown	-
game/textures/wad/inv_rlaunch.png	unknown	unknown	-
game/textures/wad/inv_shotgun.png	unknown	unknown	-
game/textures/wad/inv_snailgun.png	unknown	unknown	-
game/textures/wad/inv_srlaunch.png	unknown	unknown	-
game/textures/wad/inv_sshotgun.png	unknown	unknown	-
game/textures/wad/net.png		RaRe		QRTP	-
game/textures/wad/num_0.png		unknown	unknown	-
game/textures/wad/num_1.png		unknown	unknown	-
game/textures/wad/num_2.png		unknown	unknown	-
game/textures/wad/num_3.png		unknown	unknown	-
game/textures/wad/num_4.png		unknown	unknown	-
game/textures/wad/num_5.png		unknown	unknown	-
game/textures/wad/num_6.png		unknown	unknown	-
game/textures/wad/num_7.png		unknown	unknown	-
game/textures/wad/num_8.png		unknown	unknown	-
game/textures/wad/num_9.png		unknown	unknown	-
game/textures/wad/num_colon.png		unknown	unknown	-
game/textures/wad/num_minus.png		unknown	unknown	-
game/textures/wad/num_slash.png		unknown	unknown	-
game/textures/wad/ram.png		Ruohis		QRTP	-
game/textures/wad/sb_armor1.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/sb_armor2.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/sb_armor3.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/sb_cells.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/sb_invis.png		unknown	unknown	-
game/textures/wad/sb_invuln.png		unknown	unknown	-
game/textures/wad/sb_key1.png		unknown	unknown	-
game/textures/wad/sb_key2.png		unknown	unknown	-
game/textures/wad/sb_nails.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/sb_quad.png		unknown	unknown	-
game/textures/wad/sb_rocket.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/sb_shells.png		PrimeviL	CC-BY-NC-SA_3.0	-
game/textures/wad/sb_sigil1.png		unknown	unknown	-
game/textures/wad/sb_sigil2.png		unknown	unknown	-
game/textures/wad/sb_sigil3.png		unknown	unknown	-
game/textures/wad/sb_sigil4.png		unknown	unknown	-
game/textures/wad/sb_suit.png		RaRe	QRTP?	-
game/textures/wad/scorebar.png		unknown	unknown	-
game/textures/wad/turtle.png		Ruohis		QRTP	-
game/textures/water_caustic.png		unknown	unknown	-
game/textures/zing1.png			unknown	unknown	-
installer/ezinst.ico			nsis contributors	zlib/libpng	cuky
installer/left.bmp			nsis contributors	zlib/libpng	cuky
installer/top.bmp			nsis contributors	zlib/libpng	cuky
installer/ezquake_logo.png	cuky	CC-BY-NC-ND_3.0	-
game/locs/*.loc				flintheart, others...	gnu gpl 2	-
game/textures/bmodels/simple_b_*.tga	PrimeviL	CC-BY-NC-ND_3.0	-
game/textures/models/simple_*.tga	PrimeviL	CC-BY-NC-ND_3.0	-
game/textures/tracker	Michal "_KaszpiR_" Sochon	CC-BY-NC-ND_3.0	-
